Model,Price,Processor Brand,Processor Model,Processor Frequency,Processor Core,Processor Thread,CPU Cache,Display Size,Display Type,Display Resolution,Touch Screen,Display Features,RAM,RAM Type,Removable,Bus Speed,Total RAM Slot,Storage Type,Storage Capacity,Extra M.2 Slot,Supported SSD Type,Storage Upgrade,Graphics Model,Graphics Memory,Keyboard Type,TouchPad,WebCam,Speaker,Microphone,Optical Drive,Card Reader,HDMI Port,USB 2 Port,USB 3 Port,USB Type-C / Thunderbolt Port,Headphone & Microphone Port,WiFi,Bluetooth,Fingerprint Sensor,Operating System,Battery Type,Battery Capacity,Adapter Type,Color,Dimensions,Weight,Warranty Details,Chipset Model,Graphics Type,Audio Features,LAN,Camera Privacy Shutter,Security Chip,Body Material,Other Features,Max RAM Capacity,Refresh Rate,HDD RPM,Generation,Security Locker Slot,Keyboard Features,NPU,Response TIme,Backup Time (Approx),Other Pre-installed Softwares
"Lenovo IdeaPad Flex 5 14IRU8 Core i5 13th Gen 14"" WUXGA Touch Laptop Abyss Blue",112000,Intel,Core i5-1335U,"P-core 1.3 / 4.6GHz, E-core 0.9 / 3.4GHz",10 (2 Performance Core + 8 Efficient Core),12,12MB,14-Inch,IPS,WUXGA (1920x1200),Yes,"300nits Glossy
45% NTSC
TÜV Low Blue Light
Glass",16GB (On-Board),LPDDR4x,Non-Removable,4266MHz,1,M.2 2242 PCIe 4.0x4 NVMe SSD,512GB,N/A,,Up to 1TB M.2 2242 SSD or 512GB M.2 2280 SSD,Intel Iris Xe Graphics,Shared,Backlit Keyboard,Yes,FHD 1080p,"2W x2, Front-facing stereo speakers","2x, Array Microphone",N/A,1x 4-in-1 Card Reader,1x HDMI 1.4b,,"1x USB 3.2 Gen 1
1x USB 3.2 Gen 1 (Always On)","1x Thunderbolt 4 / USB4 40Gbps (supports data transfer, Power Delivery 3.0 and DisplayPort™ 1.4a)",1x Headphone / microphone combo jack (3.5mm),"Wi-Fi 6, 11ax 2x2",Bluetooth 5.1,"Touch Style, on Palm Rest",Windows 11 Home,Integrated,52.5Wh,65W Round Tip (3-pin),Abyss Blue,313.1 x 224.9 x 17.4 mm (12.32 x 8.85 x 0.69 inches),1.5 kg (3.31 lbs),2 Years International Limited Warranty (Battery 1 year),Intel SoC Platform,Integrated,"High-Definition (HD) Audio Chip
Realtek ALC3287 codec
Dolby Audio",N/A,Yes,Firmware TPM 2.0,"Aluminium (Top), PC-ABS + 40% GF (Bottom)",,16GB,,,13th Generation,,,,,,
"Lenovo IdeaPad Flex 5 14IRU8 Core i5 13th Gen 1TB SSD 14"" WUXGA Touch Laptop",117000,Intel,Core i5-1335U,"P-core 1.3 / 4.6GHz, E-core 0.9 / 3.4GHz",10 (2 Performance Core + 8 Efficient Core),12,12MB,14-Inch,IPS,WUXGA (1920x1200),Yes,"300nits Glossy
45% NTSC
TÜV Low Blue Light
Glass",16GB (On-Board),LPDDR4x,Non-Removable,4266MHz,1,M.2 2242 PCIe 4.0x4 NVMe SSD,1TB,N/A,,Up to 1TB M.2 2242 SSD or 512GB M.2 2280 SSD,Intel Iris Xe Graphics,Shared,Backlit Keyboard,Yes,FHD 1080p,"2W x2, Front-facing stereo speakers","2x, Array Microphone",N/A,1x 4-in-1 Card Reader,1x HDMI 1.4b,,"1x USB 3.2 Gen 1
1x USB 3.2 Gen 1 (Always On)","1x Thunderbolt 4 / USB4 40Gbps (supports data transfer, Power Delivery 3.0 and DisplayPort™ 1.4a)",1x Headphone / microphone combo jack (3.5mm),"Wi-Fi 6, 11ax 2x2",Bluetooth 5.1,"Touch Style, on Palm Rest",Windows 11 Home,Integrated,52.5Wh,65W Round Tip (3-pin),Arctic Grey,313.1 x 224.9 x 17.4 mm (12.32 x 8.85 x 0.69 inches),1.5 kg (3.31 lbs),2 Years International Limited Warranty (Battery 1 year),Intel SoC Platform,Integrated,"High-Definition (HD) Audio Chip
Realtek ALC3287 codec
Dolby Audio",N/A,Yes,Firmware TPM 2.0,"Aluminium (Top), PC-ABS + 40% GF (Bottom)",,16GB,,,13th Generation,,,,,,
"Lenovo IdeaPad Gaming 3i 16IAH7 Core i7 12th Gen RTX 3050 4GB Graphics 16"" 2K WUXGA Laptop",135000,Intel,Core i7-12650H,2.30 Ghz up to 4.70 GHz,"10 (Performance-cores: 6, Efficient-cores: 4)",16,24MB,"16""",LED,WUXGA (1920x1200),,"IPS 350nits Anti-glare, 100% sRGB, 165Hz",16GB (2 x 8GB),DDR4,,3200MHz,2,M.2 2280 PCIe 3.0x4 NVMe SSD,512GB,N/A,,,NVIDIA GeForce RTX 3050,4GB,White Backlit Keyboard,,FHD 1080p,2W x2 Stereo,Yes,N/A,,1 x HDMI,,2 x USB 3.2 Gen 1,"1x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",Yes,"Wi-Fi 6, 11ax 2x2",Bluetooth 5.1,N/A,Win11 Home,,71Wh,170W Slim Tip (3-pin),Onyx Grey,359.6 x 277.8 x 20.9mm,2.6 kg,02 years International Limited Warranty (Terms & conditions Apply As Per Lenovo),,GDDR6,"High Definition (HD) Audio
Realtek ALC3287 codec
Nahimic Audio",10/100/1000 Mbps Ethernet,Privacy Shutter,,,,Up to 32GB,165Hz,,12th,,1.5mm Key-Travel Distance Keyboard along,,,,
"Lenovo LOQ 15IAX9 Core i5 12th Gen RTX 4050 6GB Graphics 15.6"" FHD 144Hz Gaming Laptop",135000,Intel,i5-12450HX,3.1GHz up to 4.4GHz,"8 (4 Performance cores, 4 Efficient cores)",12,12MB,15.6-inch,IPS,FHD (1920x1080),N/A,"300nits Anti-glare
100% sRGB
G-SYNC",16GB (2x 8GB),DDR5,Yes,4800MHz,2,M.2 2242 PCIe 4.0x4 NVMe SSD,512GB,Yes,"1x M.2 2242 PCIe 4.0 x4
1x M.2 2280 PCIe 4.0 x4",Up to 1TB M.2 2242 SSD,"NVIDIA GeForce RTX 4050 Boost Clock 2370MHz, TGP 105W",6GB,"White Backlit, English (EU)","Buttonless Mylar surface multi-touch touchpad, supports Precision TouchPad (PTP), 75 x 120 mm (2.95 x 4.72 inches)",HD 720p ,"2W x2, Stereo speakers",2x Array Microphone,N/A,N/A,"1x HDMI 2.1, up to 8K/60Hz",,3x USB-A (USB 5Gbps / USB 3.2 Gen 1),"1x USB-C (USB 10Gbps / USB 3.2 Gen 2), with Lenovo PD 140W and DisplayPort 1.4",1x Headphone / microphone combo jack (3.5mm),"Wi-Fi 6, 802.11ax 2x2 
",BT5.2,N/A,Windows 11 Home,Integrated,60Wh,135W Slim Tip (3-pin),Luna Grey,359.86 x 258.7 x 21.9-23.9 mm (14.17 x 10.19 x 0.86-0.94 inches),Starting at 2.38 kg (5.25 lbs),2 Year Warranty (Battery & Adapter 1 Year),"Intel HM670 Chipset
",GDDR6,Nahimic Gaming Audio,1x 100/1000M RJ-45 ports,E-shutter,Firmware TPM 2.0,"PC-ABS (Top), PC-ABS (Bottom)","CERTIFICATIONS
Green Certifications	
ErP Lot 3
RoHS compliant
Other Certifications	
TÜV Rheinland® Low Blue Light (Software Solution)
Mil-Spec Test	
MIL-STD-810H military test passed",32GB,144Hz,,12th Generation,,,,,,
"Lenovo LOQ 15IRX9 Core i5 13th Gen RTX 3050 6GB Graphics 15.6"" FHD 144Hz Gaming Laptop",135000,Intel,i5-13450HX,3.4GHz up to 4.6GHz,"10 (6 Performance cores, 4 Efficient cores)",16,20MB,15.6-inch,IPS,FHD (1920x1080),N/A,"300nits Anti-glare
100% sRGB
G-SYNC",16GB,DDR5,Yes,4800MHz,2,M.2 2242 PCIe 4.0x4 NVMe SSD,512GB,Yes,"1x M.2 2242 PCIe 4.0 x4
1x M.2 2280 PCIe 4.0 x4",Up to 1TB M.2 2242 SSD,"NVIDIA GeForce RTX 3050 Boost Clock 1732MHz, TGP 95W",6GB,"White Backlit, English (EU)","Buttonless Mylar surface multi-touch touchpad, supports Precision TouchPad (PTP), 75 x 120 mm (2.95 x 4.72 inches)",HD 720p ,"2W x2, Stereo speakers",2x Array Microphone,N/A,N/A,"1x HDMI 2.1, up to 8K/60Hz",,3x USB-A (USB 5Gbps / USB 3.2 Gen 1),"1x USB-C (USB 10Gbps / USB 3.2 Gen 2), with Lenovo PD 140W and DisplayPort 1.4",1x Headphone / microphone combo jack (3.5mm),"Wi-Fi 6, 802.11ax 2x2 
",BT5.2,N/A,Windows 11 Home,Integrated,60Wh,135W Slim Tip (3-pin),Luna Grey,359.86 x 258.7 x 21.9-23.9 mm (14.17 x 10.19 x 0.86-0.94 inches),Starting at 2.38 kg (5.25 lbs),2 Year Warranty (Battery & Adapter 1 Year),Intel HM770 Chipset,GDDR6,Nahimic Gaming Audio,1x 100/1000M RJ-45 ports,E-shutter,Firmware TPM 2.0,"PC-ABS (Top), PC-ABS (Bottom)","CERTIFICATIONS
Green Certifications	
ErP Lot 3
RoHS compliant
Other Certifications	
TÜV Rheinland® Low Blue Light (Software Solution)
Mil-Spec Test	
MIL-STD-810H military test passed",32GB,144Hz,,13th Generation,,,,,,
"Lenovo Yoga 7 14IRL8 Core i5 13th Gen 14"" WUXGA OLED Military Grade Touch Laptop",140000,Intel,Core i5-1340P,"P-core 1.9 / 4.6GHz, E-core 1.4 / 3.4GHz",12 (4 Performance Core + 8 Efficient Core),16,12MB,14-Inch,OLED,WUXGA (1920x1200),"OGM, 10-point Multi-touch","400nits Glossy
Anti-fingerprint
100% DCI-P3
Dolby Vision
TÜV Low Blue Light
DisplayHDR True Black 500
Glass",16GB (On-Board),LPDDR5,Non-Removable,5200MHz,1,M.2 2242 PCIe 4.0x4 NVMe SSD,1TB,Yes,M.2 2242 PCIe 4.0 x4 slot,,Intel Iris Xe Graphics,Shared,Backlit Keyboard,"Buttonless glass-like Mylar surface multi-touch touchpad, supports Precision TouchPad (PTP), 75 x 120 mm (2.95 x 4.72 inches)",FHD 1080p + IR,"2x 2W, Stereo speakers","2x, Array Microphone",N/A,1x microSD card reader,1x HDMI 1.4b,,"1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On","2x USB-C (Thunderbolt 4 / USB4 40Gbps), with USB PD 3.0 and DisplayPort 1.4",1x Headphone / microphone combo jack (3.5mm),"Wi-Fi 6E, 11ax 2x2",Bluetooth 5.2,No,Windows 11 Home,Integrated,71Wh,65W USB-C (3-pin),Tidal Teal,317.87 x 222.50 x 16.49mm (12.51 x 8.76 x 0.65 inches),1.49 kg (3.28 lbs),2 Years International Limited Warranty (Battery 1 year),Intel SoC Platform,Integrated,"High Definition (HD) Audio
Realtek ALC3306 codec
Optimized with Dolby Atmos
Smart Amplifier (AMP)",N/A,Yes,Firmware TPM 2.0,"Surface Treatment: Aluminum Stamping (Anodized with Sandblasting)
Case Material: Aluminum (Top), Aluminum (Bottom)","MIL-STD-810H military test passed
Green Certifications: 	
ENERGY STAR 8.0
EPEAT Gold Registered
ErP Lot 6
ErP Lot 26
RoHS compliant",16GB,60Hz,,13th Generation,,,,,,
"Lenovo Yoga 7 14IRL8 Core i5 13th Gen 1TB SSD 14"" WUXGA OLED Military Grade Touch Laptop",140000,Intel,Core i5-1340P,"P-core 1.9 / 4.6GHz, E-core 1.4 / 3.4GHz",12 (4 Performance Core + 8 Efficient Core),16,12MB,14-Inch,OLED,WUXGA (1920x1200),"OGM, 10-point Multi-touch","400nits Glossy
Anti-fingerprint
100% DCI-P3
Dolby Vision
TÜV Low Blue Light
DisplayHDR True Black 500
Glass",16GB (On-Board),LPDDR5,Non-Removable,5200MHz,1,M.2 2242 PCIe 4.0x4 NVMe SSD,1TB,Yes,M.2 2242 PCIe 4.0 x4 slot,,Intel Iris Xe Graphics,Shared,Backlit Keyboard,"Buttonless glass-like Mylar surface multi-touch touchpad, supports Precision TouchPad (PTP), 75 x 120 mm (2.95 x 4.72 inches)",FHD 1080p + IR,"2x 2W, Stereo speakers","2x, Array Microphone",N/A,1x microSD card reader,1x HDMI 1.4b,,"1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On","2x USB-C (Thunderbolt 4 / USB4 40Gbps), with USB PD 3.0 and DisplayPort 1.4",1x Headphone / microphone combo jack (3.5mm),"Wi-Fi 6E, 11ax 2x2",Bluetooth 5.2,No,Windows 11 Home,Integrated,71Wh,65W USB-C (3-pin),Strom Gray,317.87 x 222.50 x 16.49mm (12.51 x 8.76 x 0.65 inches),1.49 kg (3.28 lbs),2 Years International Limited Warranty (Battery 1 year),Intel SoC Platform,Integrated,"High Definition (HD) Audio
Realtek ALC3306 codec
Optimized with Dolby Atmos
Smart Amplifier (AMP)",N/A,Yes,Firmware TPM 2.0,"Surface Treatment: Aluminum Stamping (Anodized with Sandblasting)
Case Material: Aluminum (Top), Aluminum (Bottom)","MIL-STD-810H military test passed
Green Certifications: 	
ENERGY STAR 8.0
EPEAT Gold Registered
ErP Lot 6
ErP Lot 26
RoHS compliant",16GB,60Hz,,13th Generation,,,,,,
"Lenovo ThinkPad P14s Gen 2 Core i5 11th Gen 14"" FHD Business Laptop",143000,Intel ,Core i5-1135G7,"2.40 GHz up to 4.20 GHz
",4,8,8MB,14 Inch,IPS,FHD (1920 x 1080),No,"Non-touch, IPS, 250 nits, Anti-glare ",8GB,DDR4,, 3200MHz,,M.2 2242 PCIe Gen3 TLC SDD,512GB ,N/A,M.2 2242 PCIe Gen3 TLC,,Integrated Intel UHD Graphics,Shared,LED backlight,Yes,720p HD,2 x 2W stereo speakers,Yes,N/A,1x microSD card reader,1x HDMI 2.0,,"1x USB 3.2 Gen 1
1x USB 3.2 Gen 1 
",2x Thunderbolt 4 / USB4® 40Gbps,1x Headphone/microphone combo jack (3.5mm),WLAN: Intel® Wi-Fi 6 AX201 802.11AX (2 x 2),Bluetooth 5.1,Yes,FreeDOS,3 Cell Li-Polymer ,50Wh,65W AC adapter,Black,,,03 Year Warranty (Terms & Conditions Apply As Per Lenovo),,,"High Definition (HD) Audio, Realtek ALC3287 codec",1 x RJ45,Yes,"Discrete TPM 2.0, TCG certified",,"EPEAT Gold
ENERGY STAR 8.0
TCO Certified
RoHS compliant",,,,11th Gen,,,,,,
"Lenovo IdeaPad Flex 5 14IAU7 Core i7 12th Gen 14"" WUXGA Touch Laptop",150000,Intel,Core i7-1255U,3.5 GHz up to 4.7 GHz,10 (2 Performance Core + 8 Efficient Core),12,12MB,14-Inch,IPS,WUXGA (1920x1200),Yes,"300nits Glossy
45% NTSC
TÜV Low Blue Light
Glass",16GB (On-Board),LPDDR4x,Non-Removable,4266MHz,1,M.2 2242 PCIe 4.0x4 NVMe SSD,512GB,N/A,,Up to 1TB M.2 2242 SSD or 512GB M.2 2280 SSD,Intel Iris Xe Graphics,Shared,Backlit Keyboard,Yes,FHD 1080p,"2W x2, Front-facing stereo speakers","2x, Array Microphone",N/A,1x 4-in-1 Card Reader,1x HDMI 1.4b,,"1x USB 3.2 Gen 1
1x USB 3.2 Gen 1 (Always On)","1x Thunderbolt 4 / USB4 40Gbps (supports data transfer, Power Delivery 3.0 and DisplayPort™ 1.4a)",1x Headphone / microphone combo jack (3.5mm),"Wi-Fi 6, 11ax 2x2",Bluetooth 5.1,"Touch Style, on Palm Rest",Windows 11 Home,Integrated,52.5Wh,65W Round Tip (3-pin),Storm Grey,313.1 x 224.9 x 17.4 mm (12.32 x 8.85 x 0.69 inches),1.5 kg (3.31 lbs),2 Years International Limited Warranty (Battery 1 year),Intel SoC Platform,Integrated,"High-Definition (HD) Audio Chip
Realtek ALC3287 codec
Dolby Audio",N/A,Yes,Firmware TPM 2.0,"Aluminium (Top), PC-ABS + 40% GF (Bottom)",,16GB,,,12th Generation,,,,,,
"Lenovo IdeaPad Slim 5i 15IAL7 Core i7 12th Gen MX550 2GB Graphics 15.6"" FHD Military Grade Laptop",155000,Intel ,Core i7-1255U,up to 4.70 GHz,10 (Performance-cores- 2 Efficient-cores- 8),12,12MB,15.6  Inch,LED,FHD (1920×1080),No,TN 250nits Anti-glare,16GB ,DDR4 ,,3200MHz,,M.2 NVME SSD,512GB M.2 NVME SSD,N/A,M.2 NVME SSD,,Nvidia MX550 Graphics,2GB ,Backlit Keyboard,Yes,720P HD Camera,Yes,Yes,N/A,"4-in-1 Card Reader (SD, SDHC, SDXC, MMC)",1x HDMI 1.4b,,2 x USB 3.2 Gen 1,2 x USB-C 3.2 Gen 1,Audio Combo Jack,"Wi-Fi 6 11ax, 2x2 ",Bluetooth 5.1,Touch Style,Windows 11,Integrated ,76Wh,65W Round Tip,Storm Grey,356.67 x 233.13 x 17.9mm,1.77 kg,02 year International Limited Warranty (Terms & Conditions Apply As Per Lenovo),Intel SoC Platform,GDDR6 ,"High Definition (HD) Audio
Dolby Audio",N/A,Yes,Firmware TPM 2.0,,,,,,12th Gen,,,,,,
"Lenovo IdeaPad Flex 5i Core i7 12th Gen 14"" 360° WUXGA Touch Laptop",160000,Intel,Core i7-1255U,up to 4.70 GHz,10 (Performance-cores- 2 Efficient-cores- 8),12,12MB,"14""",LED,WUXGA (1920x1200),Yes,"IPS 360 Degree Rotating Touch Display, 300 nits Glass",16GB,DDR4,Non-Removable,4266MHz,, M.2 2242 PCIe 4.0x4 NVMe,512GB,N/A,,Installed SSD can be upgradeable,Intel Iris Xe Graphics,Shared,Backlit Keyboard,,HD Camera,2W x2,Yes,,1x Card,1x HDMI 1.4b,,2 x USB 3.2 Gen 1,1 x Thunderbolt 4,,"Wi-Fi 6, 11ax 2x2",Bluetooth 5.1,Yes,Win-11 Home,,52.5Wh,65W Round Tip (3-pin),Storm Grey,313.1 x 224.9 x 17.4mm,1.5 kg,02 years International Limited Warranty (Terms & conditions Apply As Per Lenovo),,,"Front-facing stereo speakers, optimized with Dolby Audio",,Yes,Firmware TPM 2.0,,"Touch Style, on Palm Rest, Lenovo Digital Pen, 10-point Multi-touch",16GB,,,12th Gen,,,,,,
"Lenovo IdeaPad Flex 5 14IRU8 Core i7 13th Gen 14"" WUXGA Touch Laptop",135000,Intel,Core i7-1355U,3.7 GHz up to 5.0 GHz,10 (2 Performance Core + 8 Efficient Core),12,12MB,14-Inch,IPS,WUXGA (1920x1200),Yes,"300nits Glossy
45% NTSC
TÜV Low Blue Light
Glass",16GB (On-Board),LPDDR4x,Non-Removable,4266MHz,1,M.2 2242 PCIe 4.0x4 NVMe SSD,512GB,N/A,,Up to 1TB M.2 2242 SSD or 512GB M.2 2280 SSD,Intel Iris Xe Graphics,Shared,Backlit Keyboard,Yes,FHD 1080p,"2W x2, Front-facing stereo speakers","2x, Array Microphone",N/A,1x 4-in-1 Card Reader,1x HDMI 1.4b,,"1x USB 3.2 Gen 1
1x USB 3.2 Gen 1 (Always On)","1x Thunderbolt 4 / USB4 40Gbps (supports data transfer, Power Delivery 3.0 and DisplayPort™ 1.4a)",1x Headphone / microphone combo jack (3.5mm),"Wi-Fi 6, 11ax 2x2",Bluetooth 5.1,"Touch Style, on Palm Rest",Windows 11 Home,Integrated,52.5Wh,65W Round Tip (3-pin),Arctic Grey,313.1 x 224.9 x 17.4 mm (12.32 x 8.85 x 0.69 inches),1.5 kg (3.31 lbs),2 Years International Limited Warranty (Battery 1 year),Intel SoC Platform,Integrated,"High-Definition (HD) Audio Chip
Realtek ALC3287 codec
Dolby Audio",N/A,Yes,Firmware TPM 2.0,"Aluminium (Top), PC-ABS + 40% GF (Bottom)",,16GB,,,13th Generation,,,,,,
"Lenovo IdeaPad Pro 5 16IRH8 Core i5 13th Gen RTX 3050 6GB Graphics 16"" 2.5K 120Hz Military Grade Laptop",160000,Intel,Core i5-13500H,"P-core 2.6 / 4.7GHz, E-core 1.9 / 3.5GHz",12 (4 Performance Core + 8 Efficient Core),16,18MB,16-Inch,IPS,2.5K (2560x1600),N/A,"350nits Anti-glare
100% sRGB
Eyesafe
G-Sync",16GB (On-Board),LPDDR5,Non-Removable,5200MHz,1,M.2 2242 PCIe 4.0x4 NVMe SSD,512GB,Yes,"M.2 2242 PCIe 4.0 x4 slot
M.2 2280 PCIe 4.0 x4 slot",Up to 1TB,NVIDIA GeForce RTX 3050,6GB,Backlit Keyboard,"Buttonless glass surface multi-touch touchpad, supports Precision TouchPad (PTP), 80 x 135 mm (3.15 x 5.31 inches)","FHD 1080p IR, ToF Sensor","2W x2, Stereo speakers","2x, Array Microphone",N/A,SD Card Reader,"1x HDMI 2.1, up to 4K/60Hz",,"1x USB 3.2 Gen 1
1x USB 3.2 Gen 1 (Always On)","1x USB-C 3.2 Gen 2 (supports data transfer, Power Delivery 3.0 and DisplayPort 1.4)
1x Thunderbolt 4 / USB4 40Gbps (supports data transfer, Power Delivery 3.0 and DisplayPort 1.4)",1x Headphone / microphone combo jack (3.5mm),"Wi-Fi 6E, 11ax 2x2",Bluetooth 5.2,N/A,Windows 11 Home,Integrated,75Wh,170W Slim Tip (3-pin),Arctic Grey,356 x 251 x 17.5 mm (14.02 x 9.88 x 0.69 inches),1.95 kg (4.30 lbs),2 Years International Limited Warranty (Battery 1 year),Intel SoC Platform,GDDR6,"High-Definition (HD) Audio Chip
Realtek ALC3287 codec
Dolby Atmos",N/A,Yes,Firmware TPM 2.0,"Aluminium (Top), Aluminium (Bottom)","MIL-STD-810H military test passed (21 test items)
Eyesafe Certified 2.0
TÜV Rheinland Low Blue Light (Hardware Solution)
Green Certifications:
ENERGY STAR® 8.0
EPEAT™ Gold Registered
ErP Lot 6
ErP Lot 26
RoHS compliant",16GB,120Hz,,13th Generation,,,,,,
"Lenovo Yoga Slim 6 14IRH8 Core i7 13th Gen 14"" WUXGA OLED Military Grade Laptop",165000,Intel,Core  i7-13700H,3.7 GHz up to 5.0 GHz,14 (6 Performance Core + 8 Efficient Core),20,24MB,14-Inch,OLED,WUXGA (1920x1200),No,"400nits Glossy
100% DCI-P3
Eyesafe
Dolby Vision
DisplayHDR
True Black 500",16GB (On-Board),LPDDR5x,Non-Removable,5200MHz,1,M.2 2242 PCIe 4.0x4 NVMe SSD,512GB,N/A,,Up to 1TB M.2 2242 SSD or 512GB M.2 2280 SSD,Intel Iris Xe Graphics,Shared,Backlit Keyboard,Yes,"FHD 1080p + IR, ToF Sensor","2W x2, Stereo speakers","2x, Array Microphone",N/A,N/A,"1x HDMI 2.1, up to 4K/60Hz",,1x USB 3.2 Gen 1 (Always On),"2x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.4)",1x Headphone / microphone combo jack (3.5mm),"Wi-Fi 6E, 11ax 2x2",Bluetooth 5.1,No,Windows 11 Home,Integrated,65Wh,65W USB-C (3-pin),Storm Grey,312 x 221 x 14.9 mm (12.28 x 8.7 x 0.59 inches),1.35 kg (2.98 lbs),2 Years International Limited Warranty (Battery 1 year),Intel SoC Platform,Integrated,"High-Definition (HD) Audio Chip
Dolby Atmos",N/A,Yes,Firmware TPM 2.0,"Aluminum (Top), Aluminum (Bottom)",,16GB,60Hz,,13th Generation,,,,,,
"Lenovo IdeaPad Flex 5 14IRU8 Core i7 13th Gen 1TB SSD 14"" WUXGA Touch Laptop",140000,Intel,Core i7-1355U,3.7 GHz up to 5.0 GHz,10 (2 Performance Core + 8 Efficient Core),12,12MB,14-Inch,IPS,WUXGA (1920x1200),Yes,"300nits Glossy
45% NTSC
TÜV Low Blue Light
Glass",16GB (On-Board),LPDDR4x,Non-Removable,4266MHz,1,M.2 2242 PCIe 4.0x4 NVMe SSD,1TB,N/A,,Up to 1TB M.2 2242 SSD or 512GB M.2 2280 SSD,Intel Iris Xe Graphics,Shared,Backlit Keyboard,Yes,FHD 1080p,"2W x2, Front-facing stereo speakers","2x, Array Microphone",N/A,1x 4-in-1 Card Reader,1x HDMI 1.4b,,"1x USB 3.2 Gen 1
1x USB 3.2 Gen 1 (Always On)","1x Thunderbolt 4 / USB4 40Gbps (supports data transfer, Power Delivery 3.0 and DisplayPort™ 1.4a)",1x Headphone / microphone combo jack (3.5mm),"Wi-Fi 6, 11ax 2x2",Bluetooth 5.1,"Touch Style, on Palm Rest",Windows 11 Home,Integrated,52.5Wh,65W Round Tip (3-pin),Arctic Grey,313.1 x 224.9 x 17.4 mm (12.32 x 8.85 x 0.69 inches),1.5 kg (3.31 lbs),2 Years International Limited Warranty (Battery 1 year),Intel SoC Platform,Integrated,"High-Definition (HD) Audio Chip
Realtek ALC3287 codec
Dolby Audio",N/A,Yes,Firmware TPM 2.0,"Aluminium (Top), PC-ABS + 40% GF (Bottom)",,16GB,,,13th Generation,,,,,,
"Lenovo LOQ 15IRH8 Core i7 13th Gen RTX 4050 6GB Graphics 15.6"" FHD 144Hz Gaming Laptop",170000,Intel,Core i7-13620H,3.6GHz to 4.9GHz,"10 (6 Performance cores, 4 Efficient cores)",16,24MB,15.6-inch,IPS,FHD (1920x1080),N/A,"300nits Anti-glare
45% NTSC
G-SYNC",16GB (2x 8GB),DDR5,Yes,5200MHz,2,M.2 2242 PCIe 4.0x4 NVMe SSD,512GB,Yes,"1x M.2 2242 PCIe 4.0 x4
1x M.2 2280 PCIe 4.0 x4",Up to 1TB M.2 2242 SSD,NVIDIA GeForce RTX 4050,6GB,Backlit Keyboard,Yes,FHD 1080p,"2W x2, Stereo speakers",2x Array Microphone,N/A,N/A,"1x HDMI 2.1, up to 8K/60Hz",,"1x USB 3.2 Gen 1
2x USB 3.2 Gen 2","1x USB-C 3.2 Gen 2 (supports data transfer, Power Delivery 140W and DisplayPort 1.4)",1x Headphone / microphone combo jack (3.5mm),"Wi-Fi 6, 11ax 2x2",Bluetooth V5.1,N/A,Windows 11 Home,Integrated,60Wh,170W Slim Tip (3-pin),Storm Grey,359.6 x 264.8 x 22.1-25.2 mm (14.16 x 10.43 x 0.87-0.99 inches),2.4 kg (5.29 lbs),2 Year Warranty (Battery & Adapter 1 Year),Intel SoC Platform,GDDR6,"High Definition (HD) Audio Chip
Realtek ALC3287 codec
Nahimic Gaming Audio",1x 100/1000M RJ-45 ports,E-shutter,Firmware TPM 2.0,"PC-ABS (Top), PC-ABS (Bottom)",AI Chip: LA1,16GB,144Hz,,13th Generation,,White Backlit,,,,
